variable,role,label,labelLong,section,subject,variableType,units,databaseStart,variableStart,description,Transformation,,,,,,,,,,
FSCDHFS_cat1,intermediate,HC food security dummy variable: Mod. Food insec,HC food security dummy variable: Mod. Food insec,Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2017_2018_i",DerivedVar::[FSCDHFS2],,"dummy[1, 0]",,,,,,,,,,
FSCDHFS_cat1_C,predictor,HC food security centered dummy variable: Mod. Food insec,HC food security centered dummy variable: Mod. Food insec,Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2017_2018_i",DerivedVar::[FSCDHFS2],,"center[FSCDHFS_cat1, mean]",,,,,,,,,,
FSCDHFS_cat2,intermediate,HC food security dummy variable: Sev. Food insec,HC food security dummy variable: Sev. Food insec,Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2017_2018_i",DerivedVar::[FSCDHFS2],,"dummy[2, 0]",,,,,,,,,,
FSCDHFS_cat2_C,predictor,HC food security centered dummy variable: Sev. Food insec,HC food security centered dummy variable: Sev. Food insec,Sociodemographics,Food security,Categorical,N/A,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2017_2018_i",DerivedVar::[FSCDHFS2],,"center[FSCDHFS_cat2, mean]",,,,,,,,,,
GEN_01,"intermediate, imputation-variable",Self-perceived health,Self-perceived health,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::GENA_01, cchs2003_p::GENC_01, cchs2005_p::GENE_01, cchs2015_2016_p::GEN_005, cchs2017_2018_p::GEN_005, [GEN_01]",,,,,,,,,,,,
GEN_01_cat2,intermediate,Self-perceived health dummy variable: Very good,Self-perceived health dummy variable: Very good,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"dummy[2, 1]",,,,,,,,,,
GEN_01_cat3,intermediate,Self-perceived health dummy variable: Good,Self-perceived health dummy variable: Good,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"dummy[3, 1]",,,,,,,,,,
GEN_01_cat4,intermediate,Self-perceived health dummy variable: Fair,Self-perceived health dummy variable: Fair,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"dummy[4, 1]",,,,,,,,,,
GEN_01_cat5,intermediate,Self-perceived health dummy variable: Poor,Self-perceived health dummy variable: Poor,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"dummy[5, 1]",,,,,,,,,,
GEN_01_cat2_C,predictor,Self-perceived health centered dummy variable: Very good,Self-perceived health centered dummy variable: Very good,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"center[GEN_01_cat2, mean]",,,,,,,,,,
GEN_01_cat3_C,predictor,Self-perceived health centered dummy variable: Good,Self-perceived health centered dummy variable: Good,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"center[GEN_01_cat3, mean]",,,,,,,,,,
GEN_01_cat4_C,predictor,Self-perceived health centered dummy variable: Fair,Self-perceived health centered dummy variable: Fair,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"center[GEN_01_cat4, mean]",,,,,,,,,,
GEN_01_cat5_C,predictor,Self-perceived health centered dummy variable: Poor,Self-perceived health centered dummy variable: Poor,Health status,Self-perceived health,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_01],,"center[GEN_01_cat5, mean]",,,,,,,,,,
GEN_02B,"intermediate, imputation-variable, table-1-a",Self-perceived mental health,Self-perceived mental health,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2003_p::GENC_02B, cchs2005_p::GENE_02B, cchs2015_2016_p::GEN_015, cchs2017_2018_p::GEN_015, [GEN_02B]",,,,,,,,,,,,
GEN_02B_cat2,intermediate,Self-perceived mental health dummy variable: Very good,Self-perceived mental health dummy variable: Very good,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"dummy[2, 1]",,,,,,,,,,
GEN_02B_cat3,intermediate,Self-perceived mental health dummy variable: Good,Self-perceived mental health dummy variable: Good,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"dummy[3, 1]",,,,,,,,,,
GEN_02B_cat4,intermediate,Self-perceived mental health dummy variable: Fair,Self-perceived mental health dummy variable: Fair,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"dummy[4, 1]",,,,,,,,,,
GEN_02B_cat5,intermediate,Self-perceived mental health dummy variable: Poor,Self-perceived mental health dummy variable: Poor,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"dummy[5, 1]",,,,,,,,,,
GEN_02B_cat2_C,predictor,Self-perceived mental health centered dummy variable: Very good,Self-perceived mental health centered dummy variable: Very good,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"center[GEN_02B_cat2, mean]",,,,,,,,,,
GEN_02B_cat3_C,predictor,Self-perceived mental health centered dummy variable: Good,Self-perceived mental health centered dummy variable: Good,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"center[GEN_02B_cat3, mean]",,,,,,,,,,
GEN_02B_cat4_C,predictor,Self-perceived mental health centered dummy variable: Fair,Self-perceived mental health centered dummy variable: Fair,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"center[GEN_02B_cat4, mean]",,,,,,,,,,
GEN_02B_cat5_C,predictor,Self-perceived mental health centered dummy variable: Poor,Self-perceived mental health centered dummy variable: Poor,Health status,Mental health,Categorical,,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i",DerivedVar::[GEN_02B],,"center[GEN_02B_cat5, mean]",,,,,,,,,,
GEN_07,intermediate,Self-perceived life stress,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i","cchs2001_p::GENA_07, cchs2003_p::GENC_07, cchs2005_p::GENE_07, cchs2015_2016_p::GEN_020, cchs2017_2018_p:: GEN_020, cchs2015_2016_i::GEN_020, cchs2017_2018_i:: GEN_020, [GEN_07]",,,,,,,,,,,,
GEN_07_cat2,intermediate,Self-perceived life stress dummy variable: Not very stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"dummy[2, 1]",,,,,,,,,,
GEN_07_cat3,intermediate,Self-perceived life stress dummy variable: A bit stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"dummy[3, 1]",,,,,,,,,,
GEN_07_cat4,intermediate,Self-perceived life stress dummy variable: Quite a bit stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"dummy[4, 1]",,,,,,,,,,
GEN_07_cat5,intermediate,Self-perceived life stress dummy variable: Extremely stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"dummy[5, 1]",,,,,,,,,,
GEN_07_cat2_C,predictor,Self-perceived life stress centered dummy variable: Not very stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"center[GEN_07_cat2, mean]",,,,,,,,,,
GEN_07_cat3_C,predictor,Self-perceived life stress centered dummy variable: A bit stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"center[GEN_07_cat3, mean]",,,,,,,,,,
GEN_07_cat4_C,predictor,Self-perceived life stress centered dummy variable: Quite a bit stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"center[GEN_07_cat4, mean]",,,,,,,,,,
GEN_07_cat5_C,predictor,Self-perceived life stress centered dummy variable: Extremely stressful,Self-perceived life stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar[GEN_07],,"center[GEN_07_cat5, mean]",,,,,,,,,,
GEN_09,imputation-variable,Self-perceived work stress,Self-perceived work stress,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016i, cchs2017_2018_i","cchs2001_p::GENA_09, cchs2003_p::GENC_09, cchs2005_p::GENE_09, cchs2015_2016_p::GEN_025, cchs2017_2018_p::GEN_025,cchs2015_2016_i::GEN_025, cchs2017_2018_i::GEN_025, [GEN_09]",,,,,,,,,,,,
GEN_10,"intermediate, imputation-variable, table-1-a",Sense of belonging,Sense of belonging in the community,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i, cchs2015_2016_i, cchs2017_2018_i","cchs2001_p::GENA_10, cchs2003_p::GENC_10, cchs2005_p::GENE_10, cchs2015_2016_p::GEN_030, cchs2017_2018_p::GEN_030, chs2015_2016_i::GEN_030, cchs2017_2018_i::GEN_030,[GEN_10]",,,,,,,,,,,,
GEN_10_cat2,intermediate,Dummy sense of belonging: Somewhat strong,Dummy sense of belonging: Very strong,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar::[GEN_10],,"dummy[2,1]",,,,,,,,,,
GEN_10_cat3,intermediate,Dummy sense of belonging: Somwhat weak,Dummy sense of belonging: Somwhat weak,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar::[GEN_10],,"dummy[3,1]",,,,,,,,,,
GEN_10_cat4,intermediate,Dummy sense of belonging: Very weak,Dummy sense of belonging: Very weak,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar::[GEN_10],,"dummy[4,1]",,,,,,,,,,
GEN_10_cat2_C,predictor,Centered dummy sense of belonging: somewhat strong,Centered dummy sense of belonging: Very strong,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar::[GEN_10_cat2],,"center[GEN_10_cat2,mean]",,,,,,,,,,
GEN_10_cat3_C,predictor,Centered dummy sense of belonging: Somwhat weak,Centered dummy sense of belonging: Somwhat weak,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar::[GEN_10_cat3],,"center[GEN_10_cat3,mean]",,,,,,,,,,
GEN_10_cat4_C,predictor,Centered dummy sense of belonging: Very weak,Centered dummy sense of belonging: Very weak,Health status,Mental health,Categorical,N/A,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014i, cchs2015_2016i, cchs2017_2018i",DerivedVar::[GEN_10_cat4],,"center[GEN_10_cat4,mean]",,,,,,,,,,
HWTDHTM,intermediate,Height,"Height (metres)/self-reported - (D,G)",Health status,Height,Continuous,meters,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::HWTAGHT, cchs2003_p::HWTCGHT, cchs2005_p::HWTEGHTM, cchs2015_2016_i::HWTDVHTM, cchs2017_2018_i::HWTDVHTM, [HWTGHTM]",,,,,,,,,,,,
HWTDWTK,intermediate,Weight,"Weight - kilograms (D, G)",Health status,Weight,Continuous,kg,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","cchs2001_p::HWTAGWTK, cchs2003_p::HWTCGWTK, cchs2005_p::HWTEGWTK, cchs2015_2016_i::HWTDVWTK, cchs2017_2018_i::HWTDVWTK, [HWTGWTK]",,,,,,,,,,,,
HWTDBMI_der," imputation-variable,",Derived BMI,Derived Body Mass Index,Health status,BMI,Continuous,kg/m2,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs_2013_i, cchs_2014_i, cchs_2015_i, cchs_2016_i, cchs_2017_i, cchs_2018_i, cchs_2013_2014_i, cchs_2015_2016_i, cchs_2017_2018_i","DerivedVar::[HWTGHTM, HWTGWTK]",,,,,,,,,,,,
HUPDPAD,intermediate,HUI Pain,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i","cchs2001_p::HUIADPAD, cchs2003_p::HUICDPAD, cchs2005_p::HUIEDPAD, cchs2015_2016_p::HUIDVPAD, [HUPDPAD]",,,,,,,,,,,,
HUPDPAD_cat2,intermediate,Dummy HUI pain: pain prevents no activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
HUPDPAD_cat3,intermediate,Dummy HUI pain: pain prevents a few activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
HUPDPAD_cat4,intermediate,Dummy HUI pain: pain prevents some activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
HUPDPAD_cat5,intermediate,Dummy HUI pain: pain prevents most activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
HUPDPAD_cat2_C,"predictor, missing-desc-table",Centered ummy HUI pain: pain prevents no activities,Act. prevent/pain - function code - (D),Health status,Health utility index,Categorical,N/A,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2013_2014_i",DerivedVar::[HUPDPAD],,,,,,,,,,,,
